app_id,app,category,confidence,classifier_version,provider,sample_group,verification_status,evidence_count,application_type,application_type_status,authentication,authentication_status,credential_access,credential_access_status,api_exists,api_exists_status,api_types,api_types_status,api_breadth,api_breadth_status,mcp,mcp_status,webhook_support,webhook_support_status,rate_limit_info,rate_limit_info_status,buildability,buildability_status,blocker,blocker_status
customer-io,Customer.io,marketing-and-analytics,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|basic_auth|bearer_token,resolved,self_serve_paid,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
databricks,Databricks,ai-and-data,high,v2,corpus,A,corrected,6,saas_application,resolved,oauth2|pat|service_account,resolved,self_serve_trial,resolved,true,resolved,cli|rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
deel,Deel,hr-and-recruiting,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|bearer_token|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
discord,Discord,communication-and-messaging,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk|webhooks,resolved,very_broad,resolved,third_party,resolved,event_streaming,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
docusign,DocuSign,storage-and-documents,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|service_account,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
dropbox,Dropbox,storage-and-documents,high,v2,corpus,,not_selected,4,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
egnyte,Egnyte,storage-and-documents,high,v2,corpus,,not_selected,4,saas_application,resolved,bearer_token|oauth2,resolved,contact_sales,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,polling_only,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
freshdesk,Freshdesk,support-and-ticketing,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|basic_auth,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
freshsales,Freshsales,crm-and-sales,high,v2,corpus,A,corrected,4,saas_application,resolved,api_key,resolved,self_serve_free,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
front,Front,support-and-ticketing,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|bearer_token|oauth2,resolved,admin_approval,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
github,GitHub,developer-tools,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,cli|graphql|rest|sdk|webhooks,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
gitlab,GitLab,developer-tools,medium,v2,corpus,,not_selected,6,saas_application,resolved,bearer_token|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,cli|graphql|rest|sdk,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
google-analytics-4,Google Analytics 4,marketing-and-analytics,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|service_account,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,not_found,not_found,no_events,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
google-chat,Google Chat,communication-and-messaging,high,v2,corpus,A,corrected,4,saas_application,resolved,oauth2|service_account,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
google-drive,Google Drive,storage-and-documents,high,v2,corpus,,not_selected,4,saas_application,resolved,oauth2|service_account,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
gorgias,Gorgias,support-and-ticketing,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|basic_auth|oauth2,resolved,admin_approval,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
greenhouse,Greenhouse,hr-and-recruiting,high,v2,corpus,A,corrected,4,saas_application,resolved,api_key|basic_auth,resolved,contact_sales,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
gusto,Gusto,hr-and-recruiting,high,v2,corpus,,not_selected,4,saas_application,resolved,oauth2,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
help-scout,Help Scout,support-and-ticketing,high,v2,corpus,B,verified,4,saas_application,resolved,oauth2,resolved,admin_approval,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
hootsuite,Hootsuite,marketing-and-analytics,high,v2,corpus,,not_selected,4,saas_application,resolved,oauth2,resolved,admin_approval,resolved,true,resolved,rest,resolved,narrow,resolved,not_found,not_found,not_found,not_found,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|insufficient_api_surface|paid_access,resolved
hubspot,HubSpot,crm-and-sales,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
hugging-face,Hugging Face,ai-and-data,high,v2,corpus,,not_selected,6,saas_application,resolved,api_key|bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,cli|rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
intercom,Intercom,support-and-ticketing,medium,v2,corpus,A,corrected,5,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
jira,Jira,developer-tools,high,v2,corpus,A,corrected,5,saas_application,resolved,basic_auth|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
jira-service-management,Jira Service Management,support-and-ticketing,high,v2,corpus,,not_selected,5,saas_application,resolved,basic_auth|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
klaviyo,Klaviyo,marketing-and-analytics,high,v2,corpus,A,corrected,5,saas_application,resolved,api_key|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
kustomer,Kustomer,support-and-ticketing,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|bearer_token,resolved,enterprise,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,enterprise_only,resolved
lever,Lever,hr-and-recruiting,high,v2,corpus,B,corrected,4,saas_application,resolved,api_key|basic_auth|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
linear,Linear,developer-tools,high,v2,corpus,A,corrected,4,saas_application,resolved,api_key|oauth2,resolved,self_serve_free,resolved,true,resolved,graphql|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
mailchimp,Mailchimp,marketing-and-analytics,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
mattermost,Mattermost,communication-and-messaging,high,v2,corpus,,not_selected,6,open_source_self_hosted,resolved,bearer_token|oauth2|pat,resolved,self_hosted_deployment_dependent,resolved,true,resolved,rest|sdk|webhooks,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable_with_friction,resolved,admin_approval,resolved
mermaid-cli,Mermaid CLI,developer-tools,low,v2,corpus,,not_selected,3,cli_tool,resolved,not_applicable,not_applicable,self_hosted_deployment_dependent,resolved,unavailable,unavailable,not_applicable,not_applicable,not_applicable,not_applicable,not_found,not_found,not_found,not_found,not_found,not_found,not_applicable,not_applicable,non_saas_tool,resolved
microsoft-teams,Microsoft Teams,communication-and-messaging,high,v2,corpus,B,verified,6,saas_application,resolved,oauth2|service_account,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval,resolved
miro,Miro,productivity-and-collaboration,high,v2,corpus,,not_selected,6,saas_application,resolved,oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
mixpanel,Mixpanel,marketing-and-analytics,high,v2,corpus,,not_selected,5,saas_application,resolved,api_key|basic_auth|service_account,resolved,self_serve_free,resolved,true,resolved,rest,resolved,broad,resolved,official,resolved,no_events,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
monday-com,Monday.com,productivity-and-collaboration,high,v2,corpus,,not_selected,5,saas_application,resolved,api_key|oauth2,resolved,self_serve_free,resolved,true,resolved,graphql|sdk,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
nextcloud,Nextcloud,storage-and-documents,high,v2,corpus,B,verified,5,open_source_self_hosted,resolved,basic_auth|bearer_token|oauth2,resolved,self_hosted_deployment_dependent,resolved,true,resolved,other|rest,resolved,broad,resolved,third_party,resolved,native_webhooks,resolved,no_published_limits,resolved,buildable_with_friction,resolved,admin_approval,resolved
notion,Notion,productivity-and-collaboration,high,v2,corpus,B,verified,5,saas_application,resolved,oauth2|token,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
onedrive,OneDrive,storage-and-documents,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2|service_account,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval,resolved
openai,OpenAI,ai-and-data,high,v2,corpus,,not_selected,5,api_platform,resolved,api_key|bearer_token,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
pandadoc,PandaDoc,storage-and-documents,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|bearer_token|oauth2,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
paypal,PayPal,finance-and-payments,high,v2,corpus,,not_selected,5,api_platform,resolved,basic_auth|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
pcloud,pCloud,storage-and-documents,high,v2,corpus,A,corrected,3,saas_application,resolved,basic_auth|oauth2|token,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,no_events,resolved,no_published_limits,resolved,buildable,resolved,none,resolved
perplexity,Perplexity,ai-and-data,high,v2,corpus,,not_selected,5,api_platform,resolved,api_key|bearer_token,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,official,resolved,no_events,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
personio,Personio,hr-and-recruiting,high,v2,corpus,,not_selected,3,saas_application,resolved,api_key|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,not_found,not_found,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
pinecone,Pinecone,ai-and-data,high,v2,corpus,,not_selected,5,api_platform,resolved,api_key,resolved,self_serve_free,resolved,true,resolved,other|rest|sdk,resolved,broad,resolved,official,resolved,no_events,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
pipedrive,Pipedrive,crm-and-sales,high,v2,corpus,,not_selected,6,saas_application,resolved,api_key|oauth2,resolved,self_serve_paid,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
plaid,Plaid,finance-and-payments,high,v2,corpus,,not_selected,4,api_platform,resolved,api_key,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval,resolved
posthog,PostHog,marketing-and-analytics,medium,v2,corpus,,not_selected,5,open_source_self_hosted,resolved,api_key|bearer_token,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
quickbooks-online,QuickBooks Online,finance-and-payments,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
ramp,Ramp,finance-and-payments,high,v2,corpus,,not_selected,5,saas_application,resolved,oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,very_broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
razorpay,Razorpay,finance-and-payments,high,v2,corpus,A,corrected,5,api_platform,resolved,api_key|basic_auth,resolved,unclear,unclear,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable_with_friction,resolved,admin_approval,resolved
rippling,Rippling,hr-and-recruiting,high,v2,corpus,A,corrected,4,saas_application,resolved,api_key|bearer_token|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
rocket-chat,Rocket.Chat,communication-and-messaging,high,v2,corpus,,not_selected,5,open_source_self_hosted,resolved,bearer_token|oauth2|pat,resolved,self_hosted_deployment_dependent,resolved,true,resolved,rest|sdk|webhooks,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable_with_friction,resolved,none,resolved
salesforce,Salesforce,crm-and-sales,medium,v2,corpus,,not_selected,7,saas_application,resolved,oauth2|service_account,resolved,enterprise,resolved,true,resolved,cli|graphql|rest|sdk,resolved,very_broad,resolved,official,resolved,event_streaming,resolved,documented_quantitative,resolved,blocked,resolved,enterprise_only,resolved
sentry,Sentry,developer-tools,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,cli|rest,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
sherlock,Sherlock,developer-tools,low,v2,corpus,B,verified,3,cli_tool,resolved,not_applicable,not_applicable,self_hosted_deployment_dependent,resolved,unavailable,unavailable,not_applicable,not_applicable,not_applicable,not_applicable,not_found,not_found,not_found,not_found,not_found,not_found,not_applicable,not_applicable,non_saas_tool,resolved
slack,Slack,communication-and-messaging,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk|webhooks,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
smartrecruiters,SmartRecruiters,hr-and-recruiting,high,v2,corpus,,not_selected,4,saas_application,resolved,api_key|oauth2,resolved,contact_sales,resolved,true,resolved,rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,blocked,resolved,admin_approval|enterprise_only|paid_access,resolved
snowflake,Snowflake,ai-and-data,medium,v2,corpus,,not_selected,6,saas_application,resolved,basic_auth|oauth2|pat|service_account,resolved,self_serve_paid,resolved,true,resolved,cli|rest|sdk,resolved,broad,resolved,third_party,resolved,polling_only,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,paid_access,resolved
square,Square,finance-and-payments,high,v2,corpus,,not_selected,5,api_platform,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,enforced_but_undisclosed,resolved,buildable,resolved,none,resolved
stripe,Stripe,finance-and-payments,high,v2,corpus,B,verified,5,api_platform,resolved,api_key|bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,cli|rest|sdk|webhooks,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
supabase,Supabase,ai-and-data,medium,v2,corpus,,not_selected,7,open_source_self_hosted,resolved,api_key|bearer_token|oauth2|pat,resolved,self_serve_free,resolved,true,resolved,cli|graphql|rest|sdk,resolved,broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
telegram,Telegram,communication-and-messaging,high,v2,corpus,,not_selected,5,saas_application,resolved,token,resolved,self_serve_free,resolved,true,resolved,rest|webhooks,resolved,moderate,resolved,third_party,resolved,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
todoist,Todoist,productivity-and-collaboration,high,v2,corpus,,not_selected,4,saas_application,resolved,oauth2|token,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
trello,Trello,productivity-and-collaboration,high,v2,corpus,,not_selected,5,saas_application,resolved,api_key|other|token,resolved,self_serve_free,resolved,true,resolved,rest,resolved,very_broad,resolved,third_party,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
twenty,Twenty,crm-and-sales,medium,v2,corpus,B,corrected,4,open_source_self_hosted,resolved,api_key|bearer_token,resolved,self_hosted_deployment_dependent,resolved,true,resolved,graphql|rest,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,no_published_limits,resolved,buildable_with_friction,resolved,other,resolved
twilio,Twilio,communication-and-messaging,high,v2,corpus,,not_selected,6,api_platform,resolved,api_key|basic_auth,resolved,self_serve_trial,resolved,true,resolved,cli|rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
vercel,Vercel,developer-tools,high,v2,corpus,,not_selected,5,saas_application,resolved,bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,cli|rest|sdk,resolved,very_broad,resolved,official,resolved,native_webhooks,resolved,documented_quantitative,resolved,buildable,resolved,none,resolved
weaviate,Weaviate,ai-and-data,medium,v2,corpus,,not_selected,5,open_source_self_hosted,resolved,api_key|bearer_token|oauth2,resolved,self_hosted_deployment_dependent,resolved,true,resolved,graphql|other|rest|sdk,resolved,very_broad,resolved,official,resolved,no_events,resolved,no_published_limits,resolved,buildable_with_friction,resolved,none,resolved
whatsapp-business-platform,WhatsApp Business Platform,communication-and-messaging,high,v2,corpus,,not_selected,6,api_platform,resolved,bearer_token|oauth2,resolved,admin_approval,resolved,true,resolved,rest|sdk,resolved,moderate,resolved,not_found,not_found,native_webhooks,resolved,documented_quantitative,resolved,buildable_with_friction,resolved,admin_approval|paid_access,resolved
wise,Wise,finance-and-payments,high,v2,corpus,,not_selected,4,api_platform,resolved,api_key|bearer_token|oauth2,resolved,self_serve_free,resolved,true,resolved,rest|sdk,resolved,broad,resolved,not_found,not_found,native_webhooks,resolved,documented_qualitative,resolved,buildable,resolved,none,resolved
workday,Workday,hr-and-recruiting,high,v2,corpus,,not_selected,4,saas_application,resolved,basic_auth|oauth2|service_account,resolved,enterprise,resolved,true,resolved,other|rest,resolved,broad,resolved,not_found,not_found,polling_only,resolved,no_published_limits,resolved,blocked,resolved,enterprise_only,resolved
